Row,Table,Phân loại chiến lược
SK_ID_CURR,application_{train|test}.csv,Keep(100%)
TARGET,application_{train|test}.csv,Keep(100%)
NAME_CONTRACT_TYPE,application_{train|test}.csv,Keep(100%)
CODE_GENDER,application_{train|test}.csv,Keep(100%)
FLAG_OWN_CAR,application_{train|test}.csv,Keep(100%)
FLAG_OWN_REALTY,application_{train|test}.csv,Keep(100%)
CNT_CHILDREN,application_{train|test}.csv,Keep(100%)
AMT_INCOME_TOTAL,application_{train|test}.csv,Keep(100%)
AMT_CREDIT,application_{train|test}.csv,Keep(100%)
AMT_ANNUITY,application_{train|test}.csv,Keep(100%)
AMT_GOODS_PRICE,application_{train|test}.csv,Keep(100%)
NAME_TYPE_SUITE,application_{train|test}.csv,Keep(100%)
NAME_INCOME_TYPE,application_{train|test}.csv,Keep(100%)
NAME_EDUCATION_TYPE,application_{train|test}.csv,Keep(100%)
NAME_FAMILY_STATUS,application_{train|test}.csv,Keep(100%)
NAME_HOUSING_TYPE,application_{train|test}.csv,Keep(100%)
REGION_POPULATION_RELATIVE,application_{train|test}.csv,Keep(100%)
DAYS_BIRTH,application_{train|test}.csv,Keep(100%)
DAYS_EMPLOYED,application_{train|test}.csv,Keep(100%)
DAYS_REGISTRATION,application_{train|test}.csv,Keep(100%)
DAYS_ID_PUBLISH,application_{train|test}.csv,Keep(100%)
OWN_CAR_AGE,application_{train|test}.csv,Keep(100%)
FLAG_MOBIL,application_{train|test}.csv,Keep(100%)
FLAG_EMP_PHONE,application_{train|test}.csv,Keep(100%)
FLAG_WORK_PHONE,application_{train|test}.csv,Keep(100%)
FLAG_CONT_MOBILE,application_{train|test}.csv,Keep(100%)
FLAG_PHONE,application_{train|test}.csv,Keep(100%)
FLAG_EMAIL,application_{train|test}.csv,Keep(100%)
OCCUPATION_TYPE,application_{train|test}.csv,Keep(100%)
CNT_FAM_MEMBERS,application_{train|test}.csv,Keep(100%)
REGION_RATING_CLIENT,application_{train|test}.csv,Keep(100%)
REGION_RATING_CLIENT_W_CITY,application_{train|test}.csv,Keep(100%)
WEEKDAY_APPR_PROCESS_START,application_{train|test}.csv,Keep(100%)
HOUR_APPR_PROCESS_START,application_{train|test}.csv,Keep(100%)
REG_REGION_NOT_LIVE_REGION,application_{train|test}.csv,Keep(100%)
REG_REGION_NOT_WORK_REGION,application_{train|test}.csv,Keep(100%)
LIVE_REGION_NOT_WORK_REGION,application_{train|test}.csv,Keep(100%)
REG_CITY_NOT_LIVE_CITY,application_{train|test}.csv,Keep(100%)
REG_CITY_NOT_WORK_CITY,application_{train|test}.csv,Keep(100%)
LIVE_CITY_NOT_WORK_CITY,application_{train|test}.csv,Keep(100%)
ORGANIZATION_TYPE,application_{train|test}.csv,Keep(100%)
EXT_SOURCE_1,application_{train|test}.csv,Keep(100%)
EXT_SOURCE_2,application_{train|test}.csv,Keep(100%)
EXT_SOURCE_3,application_{train|test}.csv,Keep(100%)
OBS_30_CNT_SOCIAL_CIRCLE,application_{train|test}.csv,Keep(100%)
DEF_30_CNT_SOCIAL_CIRCLE,application_{train|test}.csv,Keep(100%)
OBS_60_CNT_SOCIAL_CIRCLE,application_{train|test}.csv,Keep(100%)
DEF_60_CNT_SOCIAL_CIRCLE,application_{train|test}.csv,Keep(100%)
DAYS_LAST_PHONE_CHANGE,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_HOUR,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_DAY,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_WEEK,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_MON,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_QRT,application_{train|test}.csv,Keep(100%)
AMT_REQ_CREDIT_BUREAU_YEAR,application_{train|test}.csv,Keep(100%)
SK_ID_BUREAU,bureau.csv,Keep(100%)
CREDIT_ACTIVE,bureau.csv,Keep(100%)
CREDIT_CURRENCY,bureau.csv,Keep(100%)
DAYS_CREDIT,bureau.csv,Keep(100%)
CREDIT_DAY_OVERDUE,bureau.csv,Keep(100%)
DAYS_CREDIT_ENDDATE,bureau.csv,Keep(100%)
DAYS_ENDDATE_FACT,bureau.csv,Keep(100%)
AMT_CREDIT_MAX_OVERDUE,bureau.csv,Keep(100%)
CNT_CREDIT_PROLONG,bureau.csv,Keep(100%)
AMT_CREDIT_SUM,bureau.csv,Keep(100%)
AMT_CREDIT_SUM_DEBT,bureau.csv,Keep(100%)
AMT_CREDIT_SUM_LIMIT,bureau.csv,Keep(100%)
AMT_CREDIT_SUM_OVERDUE,bureau.csv,Keep(100%)
CREDIT_TYPE,bureau.csv,Keep(100%)
DAYS_CREDIT_UPDATE,bureau.csv,Keep(100%)
AMT_ANNUITY,bureau.csv,Keep(100%)
MONTHS_BALANCE,bureau_balance.csv,Keep(100%)
STATUS,bureau_balance.csv,Keep(100%)
SK_ID_PREV,previous_application.csv,Keep(100%)
NAME_CONTRACT_TYPE,previous_application.csv,Keep(100%)
AMT_ANNUITY,previous_application.csv,Keep(100%)
AMT_APPLICATION,previous_application.csv,Keep(100%)
AMT_CREDIT,previous_application.csv,Keep(100%)
AMT_DOWN_PAYMENT,previous_application.csv,Keep(100%)
AMT_GOODS_PRICE,previous_application.csv,Keep(100%)
WEEKDAY_APPR_PROCESS_START,previous_application.csv,Keep(100%)
HOUR_APPR_PROCESS_START,previous_application.csv,Keep(100%)
FLAG_LAST_APPL_PER_CONTRACT,previous_application.csv,Keep(100%)
NFLAG_LAST_APPL_IN_DAY,previous_application.csv,Keep(100%)
MONTHS_BALANCE,POS_CASH_balance.csv,Keep(100%)
CNT_INSTALMENT,POS_CASH_balance.csv,Keep(100%)
CNT_INSTALMENT_FUTURE,POS_CASH_balance.csv,Keep(100%)
NAME_CONTRACT_STATUS,POS_CASH_balance.csv,Keep(100%)
SK_DPD,POS_CASH_balance.csv,Keep(100%)
SK_DPD_DEF,POS_CASH_balance.csv,Keep(100%)
NUM_INSTALMENT_VERSION,installments_payments.csv,Keep(100%)
NUM_INSTALMENT_NUMBER,installments_payments.csv,Keep(100%)
DAYS_INSTALMENT,installments_payments.csv,Keep(100%)
DAYS_ENTRY_PAYMENT,installments_payments.csv,Keep(100%)
AMT_INSTALMENT,installments_payments.csv,Keep(100%)
AMT_PAYMENT,installments_payments.csv,Keep(100%)
AMT_BALANCE,credit_card_balance.csv,Keep(100%)
AMT_CREDIT_LIMIT_ACTUAL,credit_card_balance.csv,Keep(100%)
