Row," ID",Table,Description,Phân loại chiến lược,Lý do chi tiết,Special,Missing_Rate,Data_Type,Unique_Count,IV_Score,Feature_Importance_Baseline
SK_ID_CURR,1,application_{train|test}.csv,ID of loan in our sample,Keep(100%),"Là khóa chính/khóa ngoại cốt lõi để liên kết các bảng dữ liệu trong hệ thống, bắt buộc phải giữ lại.",,,,,,
TARGET,2,application_{train|test}.csv,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",Keep(100%),"Biến mục tiêu biểu thị trạng thái vỡ nợ của khách hàng, là thành phần quan trọng nhất của mô hình học máy có giám sát.",,,,,,
NAME_CONTRACT_TYPE,5,application_{train|test}.csv,Identification if loan is cash or revolving,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
CODE_GENDER,6,application_{train|test}.csv,Gender of the client,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
FLAG_OWN_CAR,7,application_{train|test}.csv,Flag if the client owns a car,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
FLAG_OWN_REALTY,8,application_{train|test}.csv,Flag if client owns a house or flat,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
CNT_CHILDREN,9,application_{train|test}.csv,Number of children the client has,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
AMT_INCOME_TOTAL,10,application_{train|test}.csv,Income of the client,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_CREDIT,11,application_{train|test}.csv,Credit amount of the loan,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_ANNUITY,12,application_{train|test}.csv,Loan annuity,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
AMT_GOODS_PRICE,13,application_{train|test}.csv,For consumer loans it is the price of the goods for which the loan is given,Keep(100%),"Chỉ số tài chính trực tiếp phản ánh thu nhập, nghĩa vụ nợ hoặc trạng thái dư nợ hiện tại của khách hàng, là xương sống của mô hình tài chính.",,,,,,
NAME_TYPE_SUITE,14,application_{train|test}.csv,Who was accompanying client when he was applying for the loan,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
NAME_INCOME_TYPE,15,application_{train|test}.csv,"Clients income type (businessman, working, maternity leave,â€¦)",Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
NAME_EDUCATION_TYPE,16,application_{train|test}.csv,Level of highest education the client achieved,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
NAME_FAMILY_STATUS,17,application_{train|test}.csv,Family status of the client,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",,,,,,
NAME_HOUSING_TYPE,18,application_{train|test}.csv,"What is the housing situation of the client (renting, living with parents, ...)",Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
REGION_POPULATION_RELATIVE,19,application_{train|test}.csv,Normalized population of region where client lives (higher number means the client lives in more populated region),Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",normalized,,,,,
DAYS_BIRTH,20,application_{train|test}.csv,Client's age in days at the time of application,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",time only relative to the application,,,,,
DAYS_EMPLOYED,21,application_{train|test}.csv,How many days before the application the person started current employment,Keep(100%),"Thông tin nhân khẩu học và nghề nghiệp cơ bản của khách hàng, đóng vai trò nền tảng trong việc xây dựng hồ sơ rủi ro (risk profiling).",time only relative to the application,,,,,
DAYS_REGISTRATION,22,application_{train|test}.csv,How many days before the application did client change his registration,Watched List,"Thời gian thay đổi thông tin cá nhân/thiết bị liên lạc, có thể phản ánh mức độ ổn định cuộc sống hoặc dấu hiệu hành vi bất thường.",time only relative to the application,,,,,
DAYS_ID_PUBLISH,23,application_{train|test}.csv,How many days before the application did client change the identity document with which he applied for the loan,Watched List,"Thời gian thay đổi thông tin cá nhân/thiết bị liên lạc, có thể phản ánh mức độ ổn định cuộc sống hoặc dấu hiệu hành vi bất thường.",time only relative to the application,,,,,
OWN_CAR_AGE,24,application_{train|test}.csv,Age of client's car,Watched List,"Cột thông tin bổ sung liên quan đến lịch sử khoản vay hoặc đặc điểm hồ sơ, cần chạy phân tích tương quan và tỷ lệ khuyết thiếu trong pha EDA.",,,,,,
